ID,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG_PCT.1,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,Height,Position,Weight
1626192,31.0,15,256.0,26,70,0.371,13,44,0.371,9,12,0.75,0.5333333333333333,2.466666666666667,3.0,1.7333333333333334,0.2,0.3333333333333333,11,19,4.933333333333334,77,Guard,209.0
1641731,20.0,24,837.0,111,254,0.437,28,91,0.437,58,73,0.795,1.4583333333333333,4.0,5.458333333333333,3.375,1.4583333333333333,0.75,50,62,12.833333333333334,80,Guard,195.0
1641741,23.0,19,230.0,30,77,0.39,7,30,0.39,28,34,0.824,0.5263157894736842,1.368421052631579,1.894736842105263,0.8421052631578947,0.2631578947368421,0.2105263157894736,6,14,5.0,78,Guard,207.0
1628470,34.0,6,67.0,11,22,0.5,7,18,0.5,2,2,1.0,0.5,1.6666666666666667,2.1666666666666665,0.5,0.1666666666666666,0.1666666666666666,0,10,5.166666666666667,77,Forward,221.0
1642384,23.0,1,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0.0,78,Forward,220.0
1630622,24.0,1,3.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,73,Guard,175.0
1629633,24.0,10,137.0,17,43,0.395,1,12,0.395,9,13,0.692,1.0,2.8,3.8,0.6,0.6,0.2,7,14,4.4,78,Guard-Forward,195.0
1630595,23.0,24,870.0,217,475,0.457,59,153,0.457,80,102,0.784,1.0833333333333333,6.25,7.333333333333333,9.583333333333334,0.8333333333333334,0.9166666666666666,109,66,23.875,78,Guard,220.0
203552,34.0,25,321.0,44,95,0.463,22,52,0.463,9,11,0.818,0.4,1.0,1.4,0.44,0.52,0.16,7,27,4.76,73,Guard,185.0
201939,36.0,21,643.0,151,341,0.443,85,208,0.443,74,80,0.925,0.4761904761904761,4.571428571428571,5.047619047619048,6.380952380952381,1.2857142857142858,0.4761904761904761,66,20,21.95238095238096,74,Guard,185.0
1642359,19.0,11,77.0,6,18,0.333,5,12,0.333,2,2,1.0,0.0,1.181818181818182,1.181818181818182,0.4545454545454545,0.0909090909090909,0.1818181818181818,1,5,1.7272727272727273,80,Forward,210.0
1630700,21.0,26,877.0,142,318,0.447,29,98,0.447,25,41,0.61,1.6923076923076923,3.423076923076923,5.115384615384615,3.3461538461538463,2.8846153846153846,0.8846153846153846,48,72,13.0,79,Guard,199.0
1630268,22.0,7,26.0,2,7,0.286,2,7,0.286,3,3,1.0,0.1428571428571428,0.0,0.1428571428571428,0.1428571428571428,0.0,0.1428571428571428,1,1,1.2857142857142858,78,Guard,200.0
203076,31.0,25,882.0,252,472,0.534,18,59,0.534,173,220,0.786,2.52,8.88,11.4,3.32,1.24,2.0,54,52,27.8,82,Forward-Center,253.0
1631098,22.0,19,182.0,27,57,0.474,6,18,0.474,7,11,0.636,0.3684210526315789,1.263157894736842,1.631578947368421,0.4210526315789473,0.631578947368421,0.3157894736842105,4,16,3.526315789473684,76,Guard,195.0
1629056,26.0,64,841.0,154,364,0.423,89,243,0.423,34,43,0.791,0.3125,1.859375,2.171875,1.046875,0.671875,0.1875,53,104,6.734375,76,Guard,201.0
1631120,22.0,5,24.0,2,5,0.4,1,3,0.4,1,2,0.5,0.0,0.4,0.4,0.2,0.2,0.0,6,1,1.2,73,Guard,195.0
201942,35.0,22,781.0,181,367,0.493,15,47,0.493,119,139,0.856,0.5,3.363636363636364,3.863636363636364,4.0,1.5909090909090908,0.5,37,43,22.545454545454547,78,Guard-Forward,220.0
1628978,27.0,25,619.0,72,204,0.353,51,160,0.353,12,16,0.75,0.32,2.76,3.08,3.44,1.24,0.24,41,38,8.28,76,Guard,203.0
1631217,22.0,25,475.0,38,64,0.594,0,0,0.594,6,17,0.353,3.48,3.88,7.36,0.72,0.68,0.88,23,48,3.28,81,Forward,210.0
1629603,27.0,6,24.0,4,6,0.667,0,1,0.667,4,6,0.667,0.1666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,1,2,2.0,81,Forward,228.0
1641711,21.0,23,746.0,142,341,0.416,60,172,0.416,81,91,0.89,0.7391304347826086,2.6956521739130435,3.4347826086956523,1.9565217391304348,0.8260869565217391,0.2608695652173913,38,53,18.47826086956522,78,Guard-Forward,200.0
1631172,21.0,16,186.0,20,59,0.339,9,36,0.339,7,11,0.636,0.5625,2.0625,2.625,0.8125,0.6875,0.25,4,18,3.5,81,Forward,185.0
1642265,19.0,13,109.0,21,44,0.477,9,18,0.477,0,0,0.0,0.0769230769230769,0.6923076923076923,0.7692307692307693,1.4615384615384617,0.1538461538461538,0.0,13,4,3.923076923076923,75,Guard,175.0
203915,31.0,25,551.0,61,155,0.394,32,91,0.394,53,62,0.855,0.2,1.68,1.88,3.24,0.76,0.28,21,37,8.28,77,Guard,215.0
1629029,25.0,20,739.0,201,438,0.459,71,200,0.459,105,137,0.766,0.7,7.85,8.55,8.15,2.1,0.45,69,55,28.9,78,Forward-Guard,230.0
1629652,25.0,26,762.0,87,214,0.407,56,143,0.407,28,35,0.8,1.5,3.269230769230769,4.769230769230769,1.7692307692307692,1.2692307692307692,0.8461538461538461,16,81,9.923076923076923,76,Guard,220.0
1630245,24.0,28,858.0,142,284,0.5,39,116,0.5,42,52,0.808,0.6071428571428571,3.321428571428572,3.928571428571429,4.571428571428571,0.75,0.5,35,65,13.035714285714286,77,Guard,200.0
1630288,27.0,8,80.0,6,19,0.316,1,8,0.316,3,4,0.75,0.25,0.75,1.0,1.125,0.375,0.0,1,5,2.0,75,Guard,177.0
1628408,28.0,8,33.0,2,3,0.667,2,3,0.667,1,6,0.167,0.125,0.5,0.625,0.625,0.125,0.0,1,3,0.875,78,Guard-Forward,205.0
203083,31.0,21,431.0,66,127,0.52,1,8,0.52,31,54,0.574,3.0476190476190474,5.523809523809524,8.571428571428571,0.5238095238095238,1.380952380952381,0.4285714285714285,37,51,7.809523809523809,83,Center,279.0
1630537,27.0,12,50.0,9,18,0.5,5,12,0.5,6,8,0.75,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.3333333333333333,0.0,0.0,1,5,2.4166666666666665,77,Guard,190.0
1642505,24.0,4,7.0,0,3,0.0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,79,Guard,220.0
1630561,25.0,1,8.0,1,4,0.25,0,1,0.25,1,2,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0,1,3.0,76,Guard,204.0
1627739,30.0,28,635.0,77,174,0.443,28,86,0.443,5,10,0.5,0.6785714285714286,2.821428571428572,3.5,2.7142857142857144,1.7142857142857142,0.25,29,73,6.678571428571429,75,Guard,205.0
1642346,21.0,21,367.0,51,119,0.429,24,76,0.429,5,12,0.417,0.6190476190476191,1.9523809523809523,2.571428571428572,0.7142857142857143,0.5238095238095238,0.5714285714285714,12,49,6.238095238095238,80,Forward,216.0
